project,test,match_status,exception_type,message,stack_trace
Alluxio-alluxio,tachyon.MasterInfoTest#createFileInvalidPathTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#createAlreadyExistFileTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#createRawTableTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#negativeColumnTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#tooManyColumnsTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#deleteEmptyDirectoryTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#deleteDirectoryWithFilesTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#deleteDirectoryWithFilesTest2,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#deleteDirectoryWithDirectoriesTest2,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#getCapacityBytesTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#clientFileInfoEmptyFileTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.MasterInfoTest#clientFileInfoDirectoryTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterInfoTest.before(MasterInfoTest.java:32)"
Alluxio-alluxio,tachyon.DataServerTest#readPartialTest2,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.DataServerTest.before(DataServerTest.java:31)"
Alluxio-alluxio,tachyon.DataServerTest#readPartialTest1,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.DataServerTest.before(DataServerTest.java:31)"
Alluxio-alluxio,tachyon.DataServerTest#readTest,matched (77 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.DataServerTest.before(DataServerTest.java:31)"
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#readTest1,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.LocalBlockInStreamTest.before(LocalBlockInStreamTest.java:28)"
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#readTest2,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.LocalBlockInStreamTest.before(LocalBlockInStreamTest.java:28)"
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#readTest3,matched (74 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.LocalBlockInStreamTest.before(LocalBlockInStreamTest.java:28)"
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#skipTest,matched (74 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.LocalBlockInStreamTest.before(LocalBlockInStreamTest.java:28)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest1,matched (74 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest2,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest3,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#skipTest,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest7,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest4,matched (74 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest6,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest5,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.RemoteBlockInStreamTest.before(RemoteBlockInStreamTest.java:26)"
Alluxio-alluxio,tachyon.MasterClientTest#openCloseTest,matched (76 report(s) available),java.lang.NullPointerException:,,"java.lang.NullPointerException: null
	at tachyon.MasterClient.connect(MasterClient.java:134)
	at tachyon.WorkerStorage.<init>(WorkerStorage.java:265)
	at tachyon.Worker.<init>(Worker.java:43)
	at tachyon.Worker.createWorker(Worker.java:134)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:136)
	at tachyon.MasterClientTest.before(MasterClientTest.java:26)"
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#returnSpaceTest,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.WorkerServiceHandlerTest.before(WorkerServiceHandlerTest.java:36)"
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#evictionTest,matched (75 report(s) available),java.lang.AssertionError:,,"java.lang.AssertionError: null
	at org.junit.Assert.fail(Assert.java:92)
	at org.junit.Assert.assertTrue(Assert.java:43)
	at org.junit.Assert.assertFalse(Assert.java:68)
	at org.junit.Assert.assertFalse(Assert.java:79)
	at tachyon.WorkerServiceHandlerTest.evictionTest(WorkerServiceHandlerTest.java:104)"
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#overCapacityRequestSpaceTest,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.WorkerServiceHandlerTest.before(WorkerServiceHandlerTest.java:36)"
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#totalOverCapacityRequestSpaceTest,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.WorkerServiceHandlerTest.before(WorkerServiceHandlerTest.java:36)"
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#overReturnSpaceTest,matched (73 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.WorkerServiceHandlerTest.before(WorkerServiceHandlerTest.java:36)"
Alluxio-alluxio,tachyon.client.TachyonFileTest#isInMemoryTest2,matched (84 report(s) available),junit.framework.AssertionFailedError:,,"junit.framework.AssertionFailedError: null
	at junit.framework.Assert.fail(Assert.java:48)
	at junit.framework.Assert.assertTrue(Assert.java:20)
	at junit.framework.Assert.assertFalse(Assert.java:34)
	at junit.framework.Assert.assertFalse(Assert.java:41)
	at tachyon.client.TachyonFileTest.isInMemoryTest2(TachyonFileTest.java:119)"
Alluxio-alluxio,tachyon.client.TachyonFileTest#isInMemoryTest,matched (74 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.TachyonFileTest.before(TachyonFileTest.java:36)"
Alluxio-alluxio,tachyon.client.TachyonFileTest#isInMemoryTest3,matched (84 report(s) available),junit.framework.AssertionFailedError:,,"junit.framework.AssertionFailedError: null
	at junit.framework.Assert.fail(Assert.java:48)
	at junit.framework.Assert.assertTrue(Assert.java:20)
	at junit.framework.Assert.assertFalse(Assert.java:34)
	at junit.framework.Assert.assertFalse(Assert.java:41)
	at tachyon.client.TachyonFileTest.isInMemoryTest3(TachyonFileTest.java:153)"
Alluxio-alluxio,tachyon.client.TachyonFileTest#writeEmptyFileTest,matched (74 report(s) available),java.net.UnknownHostException,ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution,"java.net.UnknownHostException: ip-172-31-52-108: ip-172-31-52-108: Temporary failure in name resolution
	at java.net.Inet6AddressImpl.lookupAllHostAddr(Native Method)
	at java.net.InetAddress$2.lookupAllHostAddr(InetAddress.java:929)
	at java.net.InetAddress.getAddressesFromNameService(InetAddress.java:1324)
	at java.net.InetAddress.getLocalHost(InetAddress.java:1501)
	at tachyon.LocalTachyonCluster.start(LocalTachyonCluster.java:104)
	at tachyon.client.TachyonFileTest.before(TachyonFileTest.java:36)"
