project,test,flakylens_predicted,real_error_category,exception_type
Alluxio-alluxio,tachyon.DataServerTest#readPartialTest2,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.DataServerTest#readPartialTest1,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.DataServerTest#readTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#readTest1,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#readTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#readTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.LocalBlockInStreamTest#skipTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest1,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#skipTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest7,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest4,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest6,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.RemoteBlockInStreamTest#readTest5,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.MasterClientTest#openCloseTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#returnSpaceTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#evictionTest,Not Flaky,Unclear,java.lang.AssertionError:
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#overCapacityRequestSpaceTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#totalOverCapacityRequestSpaceTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.WorkerServiceHandlerTest#overReturnSpaceTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFileTest#isInMemoryTest2,Not Flaky,Unclear,junit.framework.AssertionFailedError:
Alluxio-alluxio,tachyon.client.TachyonFileTest#isInMemoryTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFileTest#isInMemoryTest3,Not Flaky,Unclear,junit.framework.AssertionFailedError:
Alluxio-alluxio,tachyon.client.TachyonFileTest#writeEmptyFileTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.FileOutStreamTest#writeTest1,Not Flaky,Unclear,java.io.IOException
Alluxio-alluxio,tachyon.client.FileOutStreamTest#writeTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.FileOutStreamTest#writeTest3,Not Flaky,Unclear,java.io.IOException
Alluxio-alluxio,tachyon.command.TFsShellTest#locationTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#mkdirTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#mkdirShortPathTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#mkdirComplexPathTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#mkdirExistingTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#mkdirInvalidPathTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#rmTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#rmNotExistingFileTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#renameTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#renameToExistingFileTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#renameParentDirectoryTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#copyFromLocalTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#copyFromLocalLargeTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#copyToLocalTest,Not Flaky,Unclear,java.io.IOException
Alluxio-alluxio,tachyon.command.TFsShellTest#copyToLocalLargeTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.command.TFsShellTest#fileinfoTest,Not Flaky,Unclear,java.io.IOException
Alluxio-alluxio,tachyon.client.table.RawColumnTest#basicTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.FileInStreamTest#readTest1,Not Flaky,Unclear,java.io.IOException
Alluxio-alluxio,tachyon.client.FileInStreamTest#readTest2,Not Flaky,Unclear,java.io.IOException
Alluxio-alluxio,tachyon.client.FileInStreamTest#readTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.FileInStreamTest#skipTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.JournalTest#EmptyImageTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.JournalTest#FileTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.JournalTest#ManyFileTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.JournalTest#FileFolderTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.JournalTest#RenameTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.JournalTest#DeleteTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.JournalTest#AddBlockTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.JournalTest#AddCheckpointTest,Not Flaky,Unclear,java.lang.NullPointerException:
Alluxio-alluxio,tachyon.client.table.RawTableTest#getIdTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.table.RawTableTest#rawtablePerfTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.table.RawTableTest#getColumnsTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.table.RawTableTest#getNameTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.table.RawTableTest#getPathTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.table.RawTableTest#getMetadataTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.table.RawTableTest#updateMetadataTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.BlockInStreamTest#readTest1,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.BlockInStreamTest#readTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.BlockInStreamTest#readTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.BlockInStreamTest#skipTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createFileWithInvalidPathExceptionTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createFileWithFileAlreadyExistExceptionTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createFileWithCheckpointFileTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableTestEmptyMetadata,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableTestWithMetadata,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableWithInvalidPathExceptionTest1,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableWithInvalidPathExceptionTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableWithFileAlreadyExistExceptionTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableWithTableColumnExceptionTest1,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableWithTableColumnExceptionTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createRawTableWithTableColumnExceptionTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#renameFileTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#lockBlockTest1,Not Flaky,Unclear,java.lang.AssertionError:
Alluxio-alluxio,tachyon.client.TachyonFSTest#lockBlockTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#lockBlockTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#lockBlockTest4,Not Flaky,Unclear,java.lang.AssertionError:
Alluxio-alluxio,tachyon.client.TachyonFSTest#unlockBlockTest1,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#unlockBlockTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#unlockBlockTest3,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createFileTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#renameFileTest1,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#renameFileTest2,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#createFileTest,Not Flaky,Unclear,java.net.UnknownHostException
Alluxio-alluxio,tachyon.client.TachyonFSTest#deleteFileTest,Not Flaky,Unclear,java.lang.AssertionError
activiti-activiti,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest#testAsyncMethodExpressionOnSpringBean,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest#testHappyJobExecutorPath,Not Flaky,Async Wait,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.jobexecutor.AsyncExecutorTest#testAsyncExecutorDisabledOnOneEngine,Not Flaky,Async Wait,java.lang.AssertionError
activiti-activiti,org.activiti.engine.test.jobexecutor.AsyncExecutorTest#testRegularAsyncExecution,Not Flaky,Async Wait,java.lang.AssertionError
activiti-activiti,org.activiti.engine.test.jobexecutor.AsyncExecutorTest#testAsyncFailingScript,Not Flaky,Async Wait,java.lang.AssertionError
activiti-activiti,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest#testDelayedActivateProcessDefinition,Not Flaky,Async Wait,org.apache.ibatis.exceptions.PersistenceException
activiti-activiti,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest#testSuspendProcessInstancesDuringProcessDefinitionSuspend,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest#testDelayedSuspendMultipleProcessDefinitionsByKey,Time,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.jobexecutor.JobExecutorTest#testBasicJobExecutorOperation,Async Wait,Async Wait,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.gateway.EventBasedGatewayTest#testCatchTimerCancelsSignal,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.StartTimerEventRepeatWithEndTest#testCycleDateStartTimerEvent,Time,Unclear,java.lang.NullPointerException
activiti-activiti,org.activiti.engine.test.jobexecutor.JobExecutorExceptionsTest#testQueryByExceptionWithRealJobExecutor,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.compatibility.StartTimerEventRepeatCompatibilityTest#testCycleDateStartTimerEvent,Time,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.end.TerminateEndEventTest#testTerminateInSubProcessWithBoundary,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerEventTest#testExpressionOnTimer,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerEventTest#testMultipleTimersOnUserTask,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.StartTimerEventTest#testDurationStartTimerEvent,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.subprocess.SubProcessTest#testNestedSimpleSubprocessWithTimerOnInnerSubProcess,Not Flaky,Unclear,junit.framework.ComparisonFailure
activiti-activiti,org.activiti.engine.test.bpmn.subprocess.SubProcessTest#testSimpleSubProcessWithTimer,Not Flaky,Unclear,junit.framework.ComparisonFailure
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.compatibility.BoundaryTimerEventRepeatCompatibilityTest#testRepeatWithoutEnd,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.IntermediateTimerEventTest#testCatchingTimerEvent,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.IntermediateTimerEventTest#testTimerEventWithStartAndDuration,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.async.AsyncExclusiveJobsTest#testExclusiveJobs,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.api.event.JobEventsTest#testTimerFiredForIntermediateTimer,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.exclusive.ExclusiveTimerEventTest#testCatchingTimerEvent,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.bpmn.async.AsyncTaskTest#testAsyncTask,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.bpmn.async.AsyncTaskTest#testBasicAsyncCallActivity,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.api.task.TaskServiceTest#testGetVariableByHistoricActivityInstance,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerNonInterruptingEventTest#testJoin,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerNonInterruptingEventTest#testMultipleTimersOnUserTask,Not Flaky,Unclear,junit.framework.AssertionFailedError
activiti-activiti,org.activiti.engine.test.api.event.ActivityEventsTest#testActivityTimeOutEvent,Not Flaky,Async Wait,org.activiti.engine.ActivitiException
activiti-activiti,org.activiti.engine.test.history.HistoricVariableInstanceTest#testHistoricVariableQueryByTaskIds,Unordered Collections,Unclear,junit.framework.ComparisonFailure
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetClusters,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetClustersWithFilters,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetServices,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetServicesWithFilters,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetServiceComponents,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetServiceComponentsWithFilters,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetServiceComponentHosts,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetServiceComponentHostsWithFilters,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetHosts,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testServiceUpdateBasic,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testServiceUpdateInvalidRequest,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testServiceUpdateInvalidUpdates,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testServiceUpdateRecursive,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testServiceComponentUpdateRecursive,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testServiceComponentHostUpdateRecursive,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testStartClientComponent,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testStartClientHostComponent,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetRequestAndTaskStatus,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetActions,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateActions,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateAndGetUsers,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testGetUsers,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testUpdateUsers,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testDeleteUsers,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testRcaOnJobtrackerHost,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testConfigUpdates,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testClientServiceSmokeTests,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateClusterWithInvalidStack,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateClusterWithDesiredClusterConfigs,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateClusterSimple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateClusterWithHostMapping,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServicesSimple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServicesWithInvalidRequest,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceWithInvalidInfo,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServicesMultiple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentSimple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateClusterWithInvalidRequest,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentWithInvalidRequest,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentWithConfigs,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentMultiple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentHostSimple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentHostMultiple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentHostWithInvalidRequest,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateHostSimple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateHostMultiple,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateHostWithInvalidRequests,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testInstallAndStartService,Not Flaky,Unclear,com.google.inject.ProvisionException
apache-ambari,org.apache.ambari.server.agent.TestHeartbeatMonitor#testHeartbeatStateCommandsEnqueueing,Not Flaky,Unclear,java.lang.AssertionError
apache-ambari,org.apache.ambari.server.agent.TestActionQueue#testConcurrentOperations,Not Flaky,Unclear,java.lang.AssertionError
apache-ambari,org.apache.ambari.server.bootstrap.BootStrapTest#testRun,Not Flaky,Unclear,java.net.UnknownHostException
apache-ambari,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest#testBadCredential,Not Flaky,Unclear,java.lang.Exception
apache-ambari,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest#testAuthenticate,Not Flaky,Unclear,org.springframework.security.authentication.InternalAuthenticationServiceException
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteAdmin#testDeleteTable,Order Dependent,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteAdmin#testCreateTable,Not Flaky,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.TestStatusResource#testGetClusterStatusXML,Order Dependent,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.TestStatusResource#testGetClusterStatusPB,Order Dependent,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testDFSMiniCluster,Order Dependent,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testZooKeeperMiniCluster,Order Dependent,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testHBaseMiniCluster,Order Dependent,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testStargateServlet,Order Dependent,Unclear,java.io.IOException
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteTable#testGetTableDescriptor,Not Flaky,Unclear,java.io.IOException
